User,Comment,Time,Likes
@raedjah6417,,4 years ago,4.6K
@jg63776,I like how he always says “we” . A real leader,4 years ago,171
@thatguynicky1979,Communism intensifies,4 years ago,101
@ibeezisi3847,"We, as in ALL of the geniuses and innovators he employs.",4 years ago,12
@leyren2606,Very good observation! I hope to imbibe that more often...,4 years ago (edited),32
@ClaireYunFarronXIII,"@My Name Is Blue Canary That doesn't make sense. Every invention and innovention is made in team-effort by a whole bunch of people. While many other people probably provided more brain-work to those projects than he did, using 'we' is the only fair way to address it.",4 years ago (edited),15
@Butterpants1987,"@My Name Is Blue Canary He's much better than you, at least.",4 years ago,17
@shoaibhuq8472, @jg63776  has nothing to do with communism. if communism really took foot america elon wouldnt have the ability to do what he does. being a team and carrying dead weight are two different things.,4 years ago (edited),5
@alikhan-uh3sq,@My Name Is Blue Canary begone tho... im not going to stoop to your level but please leave,4 years ago,1
@LunarXZ_,your awesome for noticing that!!!!!,4 years ago,3
@bambitazilla9464,ali khan you are very epic for calling him awesome,4 years ago (edited),3
@theviralmemes7101,Just a genius making things and we get to experience it. I love it.,4 years ago,
@alinktoth389,Indeed ,4 years ago,3
@MusicInfected,He has a whole team with him it just would be insulting if he didn't say that,4 years ago,3
@yougotta2505,One of the things associated with primitive way of thinking is notion that people need a leader.,4 years ago,2
@DAVIDDESIGN88,because there are other people involved,4 years ago,1
@DAVIDDESIGN88,really!!!!,4 years ago,1
@aren1998,"this Details you Are looking for!! ""We"" and ""me""  !!  you are great",4 years ago,1
@kcb5989, @jg63776  tf?,4 years ago,1
@BharathKumar-uu3fs,Rocket scientist  Warnher Von Braun book on Mars had a leader named Elon,4 years ago,
@polpol1005, @LunarXZ_   you also so much epic for calling him epic.Keep the cycle go,2 years ago,2
@junayED.,"That's just for public eye. This guy is a narcisistic personality, it's all about him.",2 years ago,
@polpol1005,,2 years ago (edited),1
@samnova4335,@James S way too many people are buying his marketing BS yea,2 years ago,
@martinkabagambe3271,We - humans,2 years ago (edited),
@aadeshnayak.baravo9997,@James S The good thing he keeps proving y'all haters wrong. Lol,2 years ago,
@lordofnight9377,Hr hr mahadev,2 years ago,
@roslyntaber9580, @Butterpants1987  Well you're naive,2 years ago,1
@teresawilliamson9377,Dwayne mon amour Elon is genius and u are so genius toi chéri...,2 years ago,
@teresawilliamson9377,Just sold swathe of houses for gazillions of .$$$$.££££€€€€,2 years ago,
@teresawilliamson9377, @leyren2606  ,2 years ago,
@teresawilliamson9377, @alinktoth389  He didn't become the richest man in the world by paying people their worth for their labour! ,2 years ago,
@aktyvator,Has he shared any of his ill-gotten gains with his exploited workers,2 years ago,
@danielkubicek9108,00,2 years ago,1
@rosscoldrick9518,Or a real conman.,5 years ago (edited),38K
@briandiehl9257,We need an updated 2023 Elon Ted Talk. Make it white if you approve.,5 years ago,350
@kensho2157,We need one in 10 years done on mars,5 years ago,15
@augustus331,Agreeed,5 years ago,96
@augustus331,What an odd way to beg for likes,5 years ago (edited),70
@panjo1576,"@C A How big do you think the probability is that Musk sees that comment with 2K likes and is like ""well, people liked this comment, I'd better hurry up and do another Ted talk""",5 years ago,3
@liamwalton4183, CanadaCommunity Org  ,5 years ago,47
@Thegooob95, @augustus331  Just make it into a meme. He'll see it.,5 years ago,4
@patelmegh09,U rhyme. I like,4 years ago,9
@johntheux9238,A video on Starlink!!!!!,4 years ago (edited),8
@Veggamattic,"Yeah, the hint of a bigger rocket at 34:24 make me so hyped.",4 years ago,7
@studioredband2686,Yang2020!,4 years ago,4
@deborahbaca1345, @johntheux9238  just watched the launch live a few weeks ago...so cool,4 years ago,3
@jamesdumouchel1286,Musk was updated 20 years ago.,4 years ago,2
@neanda," @augustus331  6.8K likes as of today, yuk, yuk.",4 years ago (edited),3
@anthonybarszczewski4219,"we need this once a year, same people",4 years ago,1
@truthside5793,Pls,4 years ago,1
@eurasiaennezahard8006,Yepp,4 years ago,1
@weedingaloud7891,MAKE THIS HAPPEN TED!!!!!,4 years ago,2
@felixnuwahid9879,Ross Coldrick he won’t because none of his predictions came true the cars are a bust the Mars ain’t happening and now he got a two mile tunnel and stopped the second tunnel so doubt this will ever come to be,4 years ago,
@lxrdxrist,,4 years ago,
@ImLuigii_,Absolutely,4 years ago,5
@bings3197,"i disliked, still blue",4 years ago,1
@coltrenclark75,we need a v.2020 now,4 years ago,
@danischdynamite,Yuuuuup,4 years ago,
@janarts8931,can anybody recommend a 2019 talkshow/interview with elon musk? only found old ones...thanks a lot!,4 years ago,
@thenightjackal8876,with a better interviewer,4 years ago,1
@erivanjunior9368,When I click the thumbs down button it goes blue! What a coincidence,4 years ago,1
@Coldbreezed,I'd watch a monthly Elon Musk Ted Talk,4 years ago,
@rachhenlr7925,Another Joe Rogan Podcast,4 years ago,
@mlc4495,I like it,4 years ago,
@thinkright9350,"Yeah, the first question to ask Elon would be what happened to fully autonomous driving within two years?",4 years ago,2
@foblobster8685,He is trouble,4 years ago,
@shash_wut," @augustus331  i think the reason is so we know how much ppl want one, not bc we want elon to do some 2019 ted talk.",4 years ago,1
@kevynduran2659,2020.,4 years ago,1
@stork01,*2020,4 years ago,
@josephfield6903,"made it blue, the dislike button i mean",4 years ago,3
@animeloverjohn8105,Cough 2020 cough,4 years ago,2
@EmmanuelSakwa,2020,4 years ago,1
@skipperofschool8325,2020 is more ,4 years ago,1
@malikt1966,2020,4 years ago,
@skipperofschool8325, @briandiehl9257   true I want to hear the plans on how we will colonizes Jupiter moons.,4 years ago,1
@Joey_Stylez, @Ali-kp7bh  he's already everywhere,4 years ago,1
@cruisermax,"Ross Coldrick yes, absolutely.",4 years ago,1
@Jake-lf5yt,We need one every 6 months the rate he’s going.,4 years ago,
@lex6709,We need a 'YEARLY' update,4 years ago,
@BlahBlah-ut4fc,Even Elon can't answer the many major questions in the edge of human life. What individual can stop the competition between nations and accelerating automation? Course it's also true that bunch of Elon 'level' men can lead the direction of majority. They already are in superior position but thinking about the others positions will be a humane mental&mind.,4 years ago,
@reverse1186,Coltren Clark bede rural,4 years ago,2
@Aldarux,But now corona is a thing sooooooo,4 years ago,1
@AMERICAEXTREMO,Yeah good luck right now with a 2020 talk ,4 years ago,
@bubzzyfn7269,"Que ideia mais bizarra, por que não fazem uns metrôs eficientes... ?",4 years ago,
@vanishasingh20,We do need Elon 2020 long ted talk various debates.pls ted,4 years ago,1
@a_mawien6310,We need to update the whole 2020,4 years ago,2
@ajjones2064, I think you have to ask 2020 for your approval,4 years ago,
@ajjones2064, @truthside5793  yeah buddy,4 years ago,
@ajjones2064, @bings3197  oh,4 years ago,
@ajjones2064, @danischdynamite  yeah its weirdo 19,4 years ago,
@ajjones2064, @thinkright9350  yeah buddy,4 years ago,
@ajjones2064, @thebestdudeever  yeah buddy,4 years ago,
@ajjones2064, @malikt1966  he does it to you lol,4 years ago,
@ajjones2064, @BlahBlah-ut4fc  uhhu,4 years ago,
@user-xf2wg5re8j, Ford Simpson  no hes not,4 years ago,
@susancheah5364,we need it now !!!,4 years ago,
@viv1593,'They' themselves should all migrate to Mars!!!,4 years ago,
@thelastamericansquaw7054,Yes please!!,4 years ago,1
@khalidchoua,"We need a weekly Elon Musk Ted Talk, so much happens in this guy's life!",4 years ago,
@dancindebs1,Listen to JOE ROGAN podcast,4 years ago,
@robotec0007,"I would love an on camera with the others .  Where does his inspiration come from. I understanding they are cross breading. They need us for species propagation. They need our passion. They help us understand and know.  Perhaps Mr. Musk will help with a public introduction.  On the Moon, Mars, Space Station, Space or somewhere in between.",4 years ago,
@robotec0007, @mlc4495  it just needs to be legally approved. have you even seen the ai day?,4 years ago,
@Anonymous_UserOrNot," @weedingaloud7891  jeah, everybody says that tesla will fail since 2012, jump on a new train boomer",4 years ago,
@Anonymous_UserOrNot,Yess,4 years ago,
@zeynepcelik6091, CanadaCommunity Org  you're weird that's just invalid conspiracy,4 years ago,
@thesupreemninja,Yeah I agreed you,4 years ago,
@Yatukih_001,John theux look at it now,4 years ago,
@Alex2FadedLive,I would not go...no thanks. I´m a secular guy so no time for crap coming from a high priest.,4 years ago,
@beazuzmcceasar22,danischdynamite joe Rogan podcasts,4 years ago,
@samarth1200,Why aren't they live streaming the space x commercial flight? I need updates!!,3 years ago,
@user-oo2en8vs2m,totally,3 years ago,1
@jody024,They should have some extra backup water then,3 years ago,
@naimakyol4754,"No, lets wait another decade or two. By then he will be android.",3 years ago,1
@manishchaupalofficial,Make it red if you’re depressed,3 years ago,
@lumitebin4875,yeah u r rght,3 years ago,
@danskebent1630,Pls please please.....make one new video.,3 years ago,
@thewatermelon3831,yes we do,3 years ago,
@candicarter4392, @augustus331  #humblebeggar sorry for being a year late,3 years ago,
@candicarter4392,Totally,3 years ago,
@caseynathanson7911,I love you  ELONMUSK,3 years ago,
@augustus331,Ross Coldrick or white ,3 years ago,
@thewatermelon3831, @thewatermelon3831  That's alright my man,3 years ago,
@danielw417, @augustus331  wow didn't expect you to reply a year-late response. Cheers!,3 years ago,
@srmxe417,"Update, its only 3 years since this originally aired, calm the F down.",3 years ago,
@NiekKuijpers," @augustus331  Well he got 32K and you got 52, without a K.",3 years ago,
@briandiehl9257," @briandiehl9257  pretty optimistic if you ask me, try 40 years",3 years ago,
@caseynathanson7911, @NiekKuijpers  Pretty much. I don't remember exactly why i said 10 years originally,3 years ago,
@MariaFernandazz,Daniel W You must not understand how technology moves.,3 years ago,
@aykiriman5256,2021 version,3 years ago,
@alexbecerra1023,I think we all waiting for that,3 years ago,
@josuardalexgonzales1068,Totally agree.,3 years ago,
@goldnutter412,yes please.,3 years ago,
@michaeld3102,"Too busy right now, hehe something beyond huge is coming he has been flat out at Space-X and.. more :) IoT will be incredible, start the party get everyone happy buy the B E C top cryptos if you can, tech stocks are going to be fine, never bet against tech :O incredible IoT 4D network and 4D tesla ai is in beta now, I can't believe how crazy its going up there and the tunnels are going to be so good too..",3 years ago,
